horizon,model,split,RMSE,MAE,MAPE
t+1,LinearRegression,validation,1954.0424765086352,1404.9560546875,2.1109280586242676
t+1,LinearRegression,test,2483.549375389988,1978.0589599609375,1.9452012777328491
t+1,RandomForest,validation,12502.695691617011,6690.029428313602,8.079952614295255
t+1,RandomForest,test,40322.59221028332,38634.25641514407,36.75590772810383
t+30,LinearRegression,validation,19016.598223657144,16209.041015625,21.937448501586914
t+30,LinearRegression,test,28352.510153423806,26775.6328125,25.867036819458008
t+30,RandomForest,validation,27852.682852212954,23197.783849905536,30.22845013704185
t+30,RandomForest,test,55750.04850672568,54486.343947569534,52.86249970724673
t+1,LSTM,validation,10277.118662,6244.439941,8.213525
t+1,LSTM,test,34069.149446,32070.513672,30.29142
t+30,LSTM,validation,23166.443318,18795.160156,24.265755
t+30,LSTM,test,48463.297453,46891.90625,45.234043
