horizon,model,split,RMSE,MAE,MAPE
t+1,LinearRegression,validation,1954.0323692303564,1404.9481201171875,2.110917568206787
t+1,LinearRegression,test,2483.528840178829,1978.037353515625,1.9451810121536255
t+1,RandomForest,validation,12501.923808165297,6689.004727137875,8.078208944312355
t+1,RandomForest,test,40321.71238055722,38633.25263648401,36.75488574522427
t+1,LSTM,validation,10271.99532710174,6248.2705078125,8.222451210021973
t+1,LSTM,test,34039.85804905772,32040.876953125,30.26265525817871
t+30,LinearRegression,validation,19016.588968582142,16209.03515625,21.937440872192383
t+30,LinearRegression,test,28352.48306586215,26775.603515625,25.867002487182617
t+30,RandomForest,validation,27852.682852212954,23197.783849905536,30.22845013704185
t+30,RandomForest,test,55750.04850672568,54486.343947569534,52.86249970724673
t+30,LSTM,validation,23166.413619721116,18795.134765625,24.265722274780273
t+30,LSTM,test,48463.24198812952,46891.84765625,45.23398208618164
